genome,cluster,score
human1_concoct_10_refined_2_Bin_9_15_1-contigs.fa,1_0,82.37674527154697
human1_concoct_10_refined_2_Bin_9_16_1-contigs.fa,2_0,80.86208534943371
human1_concoct_10_refined_2_Bin_9_18_1-contigs.fa,3_1,101.79905803451564
human1_concoct_10_refined_2_Bin_6_12-contigs.fa,4_0,88.57922749733368
human1_concoct_10_refined_2_Bin_8_2-contigs.fa,5_0,67.82266770503882
human1_concoct_10_refined_2_Bin_1_1-contigs.fa,6_1,85.50786499899408
human1_concoct_10_refined_2_Bin_6_7-contigs.fa,7_1,96.22801521932018
human1_concoct_10_refined_2_Bin_2_14_1-contigs.fa,8_1,90.9082762284672
human1_concoct_10_refined_2_Bin_2_2_1-contigs.fa,9_1,73.56946416748978
human1_concoct_10_refined_2_Bin_9_13_1-contigs.fa,10_1,87.85134753441419
human1_HC-24_maxbin.018.fasta.contigs.fa,11_1,100.33544173262077
human1_D-1_maxbin.003.fasta.contigs.fa,12_1,101.71432838264015
human1_concoct_10_refined_2_Bin_6_6-contigs.fa,13_1,102.61707285045622
human1_concoct_10_refined_2_Bin_6_1-contigs.fa,14_1,102.38481415807432
human1_concoct_10_refined_2_Bin_6_8-contigs.fa,15_0,87.87130105623277
human1_concoct_10_refined_2_Bin_0_2_1-contigs.fa,16_1,101.57112059666773
human1_HV-10_maxbin.002.fasta.contigs.fa,17_1,100.79732633874663
human1_concoct_10_refined_2_Bin_9_6-contigs.fa,18_1,92.00978500998743
human1_concoct_10_refined_2_Bin_7_5_1-contigs.fa,19_1,102.82388151691005
human1_concoct_10_refined_2_Bin_9_19_1-contigs.fa,20_1,89.91254874122899
human1_HV-1_maxbin.011.fasta.contigs.fa,21_1,100.65870945930618
human1_concoct_10_refined_2_Bin_0_6_1-contigs.fa,22_1,93.46510684370907
human1_HV-10_maxbin.006.fasta.contigs.fa,23_1,101.7797783053718
human1_concoct_10_refined_2_Bin_3_6_1-contigs.fa,24_1,99.45986940561795
human1_concoct_10_refined_2_Bin_3_9-contigs.fa,25_1,101.57949056878252
human1_concoct_10_refined_2_Bin_9_3_1-contigs.fa,26_1,99.07842017042971
human1_concoct_10_refined_2_Bin_9_4_1-contigs.fa,27_1,93.0528295724208
human1_HV-9_maxbin.002.fasta.contigs.fa,28_1,90.83577552586922
human1_HV-15_maxbin.007.fasta.contigs.fa,29_1,101.70737237405622
human1_concoct_10_refined_2_Bin_3_10_1-contigs.fa,30_1,98.29043545520847
human1_concoct_10_refined_2_Bin_3_5_1-contigs.fa,31_0,100.90421806220166
human1_concoct_10_refined_2_Bin_9_9_1-contigs.fa,32_1,102.08733373578227
human1_HC-8_maxbin.002.fasta.contigs.fa,33_1,101.98300636852201
